2.2.1.3, 0.25, 84.25, 0.00366
2.2.2.1, 0.25, 53.84, 0.01018
2.2.2.2, 0.25, 50.75, 0.01058
2.2.2.3, 0.25, 79.88, 0.00467
2.2.3.1, 0.25, 56.27, 0.00986
2.2.3.2, 0.25, 37.69, 0.01354
2.2.3.3, 0.25, 88.14, 0.00260
2.2.4.1, 0.25, 51.96, 0.01132
2.2.4.2, 0.25, 31.03, 0.02062
2.2.4.3, 0.25, 94.97, 0.00147
2.2.5.1, 0.25, 40.02, 0.01476
2.2.5.2, 0.25, 19.47, 0.02663
2.2.5.3, 0.25, 60.18, 0.00933
2.3.1.1, 0.50, 59.30, 0.00878
2.3.1.2, 0.50, 49.43, 0.01130
2.3.1.3, 0.50, 88.80, 0.00274
2.3.2.1, 0.50, 56.40, 0.00951
2.3.2.2, 0.50, 47.40, 0.01103
2.3.2.3, 0.50, 85.99, 0.00319
2.3.3.1, 0.50, 55.55, 0.00982
2.3.3.2, 0.50, 37.97, 0.01230
2.3.3.3, 0.50, 87.72, 0.00264
2.3.4.1, 0.50, 53.84, 0.01108
2.3.4.2, 0.50, 31.84, 0.02037
2.3.4.3, 0.50, 95.39, 0.00127
2.3.5.1, 0.50, 47.48, 0.01310
2.3.5.2, 0.50, 26.24, 0.02575
2.3.5.3, 0.50, 80.54, 0.00418
2.4.1.1, 0.75, 55.67, 0.00977
2.4.1.2, 0.75, 43.70, 0.01256
2.4.1.3, 0.75, 91.08, 0.00212
2.4.2.1, 0.75, 54.78, 0.00979
2.4.2.2, 0.75, 33.77, 0.01219
2.4.2.3, 0.75, 88.14, 0.00280
2.4.3.1, 0.75, 50.94, 0.01067
2.4.3.2, 0.75, 29.65, 0.01336
2.4.3.3, 0.75, 81.98, 0.00404
2.4.4.1, 0.75, 52.69, 0.01148
2.4.4.2, 0.75, 31.46, 0.02057
2.4.4.3, 0.75, 92.69, 0.00174
2.4.5.1, 0.75, 42.92, 0.01389
2.4.5.2, 0.75, 28.30, 0.02254
2.4.5.3, 0.75, 88.74, 0.00249
2.5.1.1, 1.00, 16.64, 0.13514
2.5.1.2, 1.00, 19.65, 0.13187
2.5.1.3, 1.00, 11.50, 0.14474
2.5.2.1, 1.00, 16.60, 9.09029
2.5.2.2, 1.00, 19.65, 7.46906
2.5.2.3, 1.00, 11.32, 9.86020
2.5.3.1, 1.00, 16.60, 2.68424
2.5.3.2, 1.00, 19.65, 2.67450
2.5.3.3, 1.00, 11.32, 2.09453
